Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product,Unit_Price,Quantity,Revenue,Profit,Channel,Year,Month_Name,Quarter
West Gear,1128299,2020-04-11,West,Colorado,Denver,Men's Athletic Footwear,65.00,375,24375,8531.25,In-store,2020,April,2
West Gear,1128299,2020-04-12,West,Colorado,Denver,Women's Street Footwear,65.00,375,24375,12187.50,In-store,2020,April,2
Sports Direct,1197831,2021-04-14,South,Tennessee,Knoxville,Women's Athletic Footwear,40.00,600,24000,12000.00,Outlet,2021,April,2
Kohl's,1128299,2021-04-28,West,New Mexico,Albuquerque,Women's Street Footwear,60.00,400,24000,8400.00,Online,2021,April,2
Sports Direct,1197831,2021-04-27,South,Tennessee,Knoxville,Men's Apparel,50.00,475,23750,9500.00,Outlet,2021,April,2
Kohl's,1189833,2021-04-12,West,California,Los Angeles,Women's Athletic Footwear,45.00,525,23625,8268.75,Outlet,2021,April,2
West Gear,1185732,2021-04-11,Northeast,New York,Albany,Men's Athletic Footwear,45.00,525,23625,8268.75,In-store,2021,April,2
Foot Locker,1185732,2021-04-08,Southeast,South Carolina,Charleston,Men's Athletic Footwear,35.00,675,23625,8268.75,Online,2021,April,2
Sports Direct,1185732,2021-04-05,Southeast,North Carolina,Charlotte,Men's Apparel,45.00,525,23625,8268.75,Online,2021,April,2
Sports Direct,1185732,2021-04-05,Southeast,North Carolina,Charlotte,Women's Apparel,35.00,675,23625,11812.50,Online,2021,April,2
Amazon,1185732,2021-04-13,Northeast,Vermont,Burlington,Men's Street Footwear,45.00,525,23625,10631.25,In-store,2021,April,2
Sports Direct,1197831,2021-04-20,South,Tennessee,Knoxville,Women's Athletic Footwear,40.00,575,23000,12650.00,Outlet,2021,April,2
West Gear,1128299,2020-04-20,West,Colorado,Denver,Men's Apparel,70.00,325,22750,14787.50,In-store,2020,April,2
Foot Locker,1128299,2021-04-12,West,Hawaii,Honolulu,Women's Street Footwear,65.00,350,22750,5687.50,Outlet,2021,April,2
Foot Locker,1128299,2021-04-12,West,Hawaii,Honolulu,Women's Apparel,70.00,325,22750,9100.00,Outlet,2021,April,2
Foot Locker,1128299,2021-04-25,West,Arizona,Phoenix,Women's Apparel,70.00,325,22750,5687.50,Online,2021,April,2
Kohl's,1189833,2021-04-19,West,California,Los Angeles,Men's Apparel,50.00,450,22500,12375.00,Outlet,2021,April,2
Sports Direct,1197831,2021-04-15,South,Tennessee,Knoxville,Men's Apparel,45.00,500,22500,7875.00,Outlet,2021,April,2
Kohl's,1185732,2021-04-13,West,Wyoming,Cheyenne,Women's Apparel,40.00,550,22000,5500.00,In-store,2021,April,2
Amazon,1185732,2021-04-12,Midwest,Ohio,Columbus,Men's Street Footwear,30.00,725,21750,8700.00,Online,2021,April,2
Sports Direct,1197831,2021-04-26,South,Tennessee,Knoxville,Women's Athletic Footwear,45.00,475,21375,11756.25,Outlet,2021,April,2
Amazon,1185732,2021-04-24,Southeast,Kentucky,Louisville,Men's Street Footwear,45.00,475,21375,8550.00,Online,2021,April,2
Kohl's,1189833,2021-04-13,West,California,Los Angeles,Men's Apparel,50.00,425,21250,11687.50,Outlet,2021,April,2
Kohl's,1185732,2021-04-13,West,Wyoming,Cheyenne,Men's Apparel,50.00,425,21250,6375.00,In-store,2021,April,2
West Gear,1128299,2020-04-05,West,Colorado,Denver,Men's Athletic Footwear,65.00,325,21125,4225.00,In-store,2020,April,2
Sports Direct,1185732,2021-04-18,Midwest,Michigan,Detroit,Women's Apparel,40.00,525,21000,11550.00,In-store,2021,April,2
West Gear,1128299,2021-04-19,South,Louisiana,New Orleans,Women's Apparel,60.00,350,21000,7350.00,In-store,2021,April,2
Kohl's,1128299,2021-04-28,West,New Mexico,Albuquerque,Men's Athletic Footwear,60.00,350,21000,8400.00,Online,2021,April,2
Foot Locker,1185732,2021-04-16,Northeast,Delaware,Wilmington,Men's Street Footwear,40.00,525,21000,7350.00,In-store,2021,April,2
West Gear,1128299,2021-04-19,South,Louisiana,New Orleans,Women's Street Footwear,55.00,375,20625,8250.00,In-store,2021,April,2
Sports Direct,1128299,2021-04-15,Southeast,Georgia,Atlanta,Women's Street Footwear,55.00,375,20625,7218.75,Online,2021,April,2
Foot Locker,1185732,2021-04-20,Midwest,Missouri,St. Louis,Men's Street Footwear,35.00,575,20125,8050.00,In-store,2021,April,2
Kohl's,1185732,2021-04-13,West,Wyoming,Cheyenne,Men's Athletic Footwear,40.00,500,20000,6000.00,In-store,2021,April,2
Sports Direct,1185732,2021-04-18,Midwest,Michigan,Detroit,Men's Apparel,50.00,400,20000,8000.00,In-store,2021,April,2
Sports Direct,1185732,2021-04-06,Northeast,Connecticut,Hartford,Men's Street Footwear,40.00,500,20000,8000.00,In-store,2021,April,2
Foot Locker,1128299,2021-04-12,West,Hawaii,Honolulu,Men's Athletic Footwear,65.00,300,19500,3900.00,Outlet,2021,April,2
Foot Locker,1128299,2021-04-26,Southeast,Virginia,Richmond,Women's Street Footwear,60.00,325,19500,6825.00,In-store,2021,April,2
Foot Locker,1128299,2021-04-26,Southeast,Virginia,Richmond,Women's Apparel,65.00,300,19500,5850.00,In-store,2021,April,2
West Gear,1128299,2021-04-26,West,Oregon,Portland,Women's Street Footwear,60.00,325,19500,6825.00,In-store,2021,April,2
West Gear,1128299,2021-04-26,West,Oregon,Portland,Women's Apparel,65.00,300,19500,5850.00,In-store,2021,April,2
West Gear,1197831,2021-04-07,West,Idaho,Boise,Men's Athletic Footwear,30.00,650,19500,6825.00,Online,2021,April,2
West Gear,1128299,2020-04-03,West,Colorado,Denver,Women's Apparel,55.00,350,19250,2887.50,In-store,2020,April,2
Foot Locker,1128299,2021-04-25,West,Arizona,Phoenix,Women's Street Footwear,55.00,350,19250,6737.50,Online,2021,April,2
Sports Direct,1197831,2021-04-09,South,Tennessee,Knoxville,Men's Apparel,45.00,425,19125,6693.75,Outlet,2021,April,2
Sports Direct,1197831,2021-04-06,South,Tennessee,Knoxville,Men's Athletic Footwear,25.00,750,18750,7500.00,Outlet,2021,April,2
West Gear,1185732,2021-04-13,West,Utah,Salt Lake City,Men's Street Footwear,30.00,625,18750,7500.00,In-store,2021,April,2
West Gear,1185732,2021-04-11,Northeast,New York,Albany,Women's Street Footwear,35.00,525,18375,4593.75,In-store,2021,April,2
Amazon,1185732,2021-04-12,Midwest,Ohio,Columbus,Women's Apparel,35.00,525,18375,9187.50,Online,2021,April,2
West Gear,1185732,2021-04-11,Northeast,New York,Albany,Women's Athletic Footwear,40.00,450,18000,5400.00,In-store,2021,April,2
Foot Locker,1185732,2021-04-08,Southeast,South Carolina,Charleston,Women's Athletic Footwear,30.00,600,18000,5400.00,Online,2021,April,2
Foot Locker,1185732,2021-04-14,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,40.00,450,18000,6300.00,Online,2021,April,2
Sports Direct,1185732,2021-04-16,Northeast,Massachusetts,Boston,Men's Street Footwear,40.00,450,18000,5400.00,In-store,2021,April,2
West Gear,1128299,2021-04-19,South,Louisiana,New Orleans,Men's Athletic Footwear,55.00,325,17875,7150.00,In-store,2021,April,2
Sports Direct,1128299,2021-04-15,Southeast,Georgia,Atlanta,Men's Athletic Footwear,55.00,325,17875,7150.00,Online,2021,April,2
Sports Direct,1185732,2021-04-05,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,30.00,575,17250,6037.50,Online,2021,April,2
Sports Direct,1185732,2021-04-18,Midwest,Michigan,Detroit,Men's Athletic Footwear,40.00,425,17000,6800.00,In-store,2021,April,2
Foot Locker,1185732,2021-04-08,Southeast,South Carolina,Charleston,Women's Street Footwear,25.00,675,16875,4218.75,Online,2021,April,2
Amazon,1185732,2021-04-12,Midwest,Ohio,Columbus,Men's Apparel,45.00,375,16875,5906.25,Online,2021,April,2
Foot Locker,1185732,2021-04-19,South,Mississippi,Jackson,Men's Street Footwear,25.00,675,16875,6750.00,Online,2021,April,2
Kohl's,1185732,2021-04-09,Northeast,New Jersey,Newark,Men's Street Footwear,35.00,475,16625,5818.75,In-store,2021,April,2
West Gear,1128299,2020-04-01,West,Colorado,Denver,Women's Athletic Footwear,55.00,300,16500,4950.00,In-store,2020,April,2
West Gear,1128299,2020-04-07,West,Colorado,Denver,Women's Athletic Footwear,60.00,275,16500,4950.00,In-store,2020,April,2
West Gear,1128299,2020-04-13,West,Colorado,Denver,Women's Athletic Footwear,60.00,275,16500,7425.00,In-store,2020,April,2
Walmart,1128299,2021-04-19,Southeast,Florida,Orlando,Women's Athletic Footwear,55.00,300,16500,4950.00,Outlet,2021,April,2
Foot Locker,1128299,2021-04-26,Southeast,Virginia,Richmond,Men's Athletic Footwear,60.00,275,16500,5775.00,In-store,2021,April,2
West Gear,1128299,2021-04-26,West,Oregon,Portland,Men's Athletic Footwear,60.00,275,16500,5775.00,In-store,2021,April,2
West Gear,1197831,2021-04-07,West,Idaho,Boise,Women's Apparel,30.00,550,16500,8250.00,Online,2021,April,2
Foot Locker,1128299,2021-04-25,West,Arizona,Phoenix,Men's Athletic Footwear,55.00,300,16500,6600.00,Online,2021,April,2
Kohl's,1128299,2021-04-28,West,New Mexico,Albuquerque,Women's Athletic Footwear,55.00,300,16500,5775.00,Online,2021,April,2
West Gear,1185732,2021-04-19,Northeast,West Virginia,Charleston,Men's Street Footwear,30.00,550,16500,6600.00,In-store,2021,April,2
West Gear,1185732,2021-04-19,Northeast,West Virginia,Charleston,Women's Apparel,50.00,325,16250,6500.00,In-store,2021,April,2
Amazon,1185732,2021-04-20,Northeast,New Hampshire,Manchester,Women's Apparel,50.00,325,16250,5687.50,In-store,2021,April,2
Sports Direct,1197831,2021-04-08,South,Tennessee,Knoxville,Women's Athletic Footwear,30.00,525,15750,7875.00,Outlet,2021,April,2
Amazon,1185732,2021-04-23,West,Alaska,Anchorage,Women's Apparel,50.00,300,15000,4500.00,Outlet,2021,April,2
Kohl's,1185732,2021-04-13,West,Wyoming,Cheyenne,Women's Street Footwear,30.00,500,15000,5250.00,In-store,2021,April,2
Walmart,1197831,2021-04-22,South,Arkansas,Little Rock,Men's Street Footwear,25.00,600,15000,6000.00,Online,2021,April,2
Kohl's,1185732,2021-04-13,West,Wyoming,Cheyenne,Women's Athletic Footwear,35.00,425,14875,5206.25,In-store,2021,April,2
West Gear,1185732,2021-04-23,Northeast,Maryland,Baltimore,Men's Street Footwear,35.00,425,14875,5950.00,In-store,2021,April,2
Foot Locker,1185732,2021-04-09,Northeast,Rhode Island,Providence,Men's Street Footwear,35.00,425,14875,5206.25,In-store,2021,April,2
Sports Direct,1197831,2021-04-04,South,Tennessee,Knoxville,Women's Apparel,25.00,575,14375,7906.25,Outlet,2021,April,2
Foot Locker,1185732,2021-04-19,South,Mississippi,Jackson,Women's Apparel,30.00,475,14250,7125.00,Online,2021,April,2
Sports Direct,1128299,2021-04-15,Southeast,Georgia,Atlanta,Women's Athletic Footwear,50.00,275,13750,5500.00,Online,2021,April,2
West Gear,1185732,2021-04-12,Midwest,Indiana,Indianapolis,Women's Apparel,50.00,275,13750,5500.00,In-store,2021,April,2
Sports Direct,1185732,2021-04-18,Midwest,Michigan,Detroit,Women's Street Footwear,30.00,450,13500,4050.00,In-store,2021,April,2
Sports Direct,1185732,2021-04-11,Midwest,North Dakota,Fargo,Men's Street Footwear,30.00,450,13500,4725.00,Online,2021,April,2
Amazon,1185732,2021-04-13,Northeast,Vermont,Burlington,Women's Apparel,45.00,300,13500,5400.00,In-store,2021,April,2
Sports Direct,1185732,2021-04-18,Midwest,Michigan,Detroit,Women's Athletic Footwear,35.00,375,13125,4593.75,In-store,2021,April,2
West Gear,1197831,2021-04-22,South,Oklahoma,Oklahoma City,Men's Street Footwear,25.00,525,13125,5250.00,Online,2021,April,2
West Gear,1197831,2021-04-07,West,Idaho,Boise,Men's Street Footwear,20.00,650,13000,4550.00,Online,2021,April,2
Foot Locker,1185732,2021-04-19,South,Mississippi,Jackson,Men's Apparel,40.00,325,13000,4550.00,Online,2021,April,2
West Gear,1185732,2021-04-19,Northeast,West Virginia,Charleston,Men's Apparel,65.00,200,13000,5200.00,In-store,2021,April,2
Amazon,1185732,2021-04-12,Midwest,Ohio,Columbus,Men's Athletic Footwear,30.00,425,12750,4462.50,Online,2021,April,2
Foot Locker,1128299,2021-04-12,West,Hawaii,Honolulu,Women's Athletic Footwear,50.00,250,12500,3125.00,Outlet,2021,April,2
Foot Locker,1128299,2021-04-25,West,Arizona,Phoenix,Women's Athletic Footwear,50.00,250,12500,4375.00,Online,2021,April,2
Sports Direct,1185732,2021-04-05,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,25.00,500,12500,5000.00,Online,2021,April,2
Kohl's,1197831,2021-04-15,Midwest,Kansas,Wichita,Men's Street Footwear,25.00,500,12500,4375.00,Online,2021,April,2
Foot Locker,1185732,2021-04-08,Midwest,Iowa,Des Moines,Women's Apparel,50.00,250,12500,5000.00,In-store,2021,April,2
West Gear,1185732,2021-04-12,Midwest,Indiana,Indianapolis,Men's Street Footwear,25.00,500,12500,5000.00,In-store,2021,April,2
Amazon,1185732,2021-04-20,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,50.00,250,12500,5000.00,In-store,2021,April,2
Amazon,1185732,2021-04-23,West,Alaska,Anchorage,Men's Athletic Footwear,55.00,225,12375,4331.25,Outlet,2021,April,2
Sports Direct,1197831,2021-04-07,South,Tennessee,Knoxville,Women's Street Footwear,20.00,600,12000,4800.00,Outlet,2021,April,2
Walmart,1128299,2021-04-19,Southeast,Florida,Orlando,Men's Apparel,60.00,200,12000,2400.00,Outlet,2021,April,2
Kohl's,1128299,2021-04-28,West,New Mexico,Albuquerque,Men's Apparel,60.00,200,12000,3600.00,Online,2021,April,2
Walmart,1197831,2021-04-22,South,Arkansas,Little Rock,Women's Apparel,30.00,400,12000,4800.00,Online,2021,April,2
Foot Locker,1185732,2021-04-16,Northeast,Delaware,Wilmington,Women's Apparel,40.00,300,12000,4800.00,In-store,2021,April,2
